561160;0
561161;0
561163;0
561164;0
561166;4
561167;1
561168;2
561169;0
561171;0
561172;0
561173;0
561174;0
561175;0
561176;0
561177;0
561178;0
561179;0
561180;0
561181;0
561182;0
561183;0
561184;0
561185;0
561189;0
561190;0
561191;0
561192;0
561193;0
561194;0
561195;0
561196;0
561197;0
561198;0
561199;0
561200;0
561201;0
561202;0
561203;0
561204;0
561205;0
561206;0
561207;0
561211;0
561215;0
561216;0
561217;0
561218;0
561219;1
561220;0
561221;1
561222;0
561223;0
561224;0
561225;0
561226;1
561228;0
561229;0
561230;0
561232;0
561233;0
561234;0
561238;0
561239;0
561240;0
561241;0
561242;0
561243;0
561244;0
561245;0
561247;0
561248;0
561250;0
561251;0
561252;0
561253;0
561254;0
561255;0
561256;0
561257;0
561258;0
561259;0
561260;1
561261;2
561262;1
561263;0
561264;0
561265;1
561266;0
561267;0
561268;2
561269;0
561270;0
561271;0
561272;0
561273;0
561274;0
561275;3
561276;0
561277;0
561278;0
561279;0
561280;0
561281;0
561282;6
561283;1
561284;2
561285;0
561286;0
561287;0
561288;0
561289;0
561290;0
561291;0
561292;0
561293;2
561294;0
561295;0
561296;1
561297;0
561298;2
561299;0
561300;1
561301;0
561302;6
561303;0
561304;0
561305;0
561306;0
561307;17
561308;0
561309;0
561310;0
561311;0
561312;0
561313;2
561314;0
561315;0
561316;1
561317;1
561318;0
561319;0
561320;0
561321;0
561322;0
561323;0
561324;0
561325;0
561326;0
561327;0
561328;0
561329;0
561330;0
561331;0
561332;0
561333;0
561334;0
561335;0
561336;0
561337;0
561338;0
561339;0
561340;0
561341;0
561342;0
561343;1
561344;0
561345;0
561346;0
561347;0
561348;0
561349;2
561353;0
561357;0
561358;0
561359;0
561360;0
561364;2
561365;2
561366;1
561367;1
561368;0
561369;0
561370;0
561371;0
561372;0
561373;0
561374;0
561375;0
561376;0
561377;0
561379;0
561380;0
561384;0
561385;0
561386;0
561387;0
561388;0
561389;0
561390;0
561392;0
561394;0
561396;0
561397;0
561398;0
561400;0
561401;0
561402;0
561406;0
561407;0
561408;0
561409;0
561410;0
561411;0
561413;0
561414;0
561415;0
561416;0
561417;0
561418;0
561419;0
561422;0
561423;0
561424;0
561425;0
561426;0
561427;0
561428;0
561429;0
561430;0
561431;0
561432;0
561433;0
561434;0
561435;0
561436;0
561437;0
561438;0
561439;0
561441;0
561442;1
561443;1
561444;1
561445;0
561446;0
561447;0
561448;0
561449;0
561450;0
561451;0
561452;0
561453;0
561454;0
561455;0
561456;0
561457;0
561458;0
561459;0
561460;0
561461;0
561462;0
561463;0
561465;0
561466;0
561467;0
561468;0
561469;0
561470;0
561472;0
561476;0
561477;0
561478;0
561479;0
561480;0
561482;1
561483;1
561484;0
561485;0
561486;0
561487;0
561488;0
561489;0
561491;0
561492;0
561495;0
561496;0
561497;0
561499;0
561501;0
561502;0
561503;0
561504;0
561505;1
561506;0
561507;0
561508;0
561509;2
561510;0
561511;0
561512;0
561513;0
561514;0
561515;0
561516;0
561517;0
561518;0
561519;0
561520;0
561521;0
561522;0
561523;0
561524;0
561526;0
561527;0
561528;0
561529;0
561530;0
561531;0
561532;0
561534;0
561535;0
561536;0
561537;0
561538;0
561539;0
561540;0
561541;0
561542;0
561543;0
561544;0
561545;0
561546;0
561547;0
561548;0
561549;0
561550;0
561551;0
561552;0
561553;0
561554;0
561555;0
561556;0
561557;0
561558;0
561559;0
561560;0
561561;0
561562;0
561564;0
561566;0
561567;0
561568;0
561569;0
561571;0
561572;0
561574;0
561575;0
561576;0
561577;0
561578;0
561579;0
561580;0
561581;0
561582;0
561583;0
561584;0
561586;0
561587;2
561588;0
561589;0
561590;0
561591;0
561593;0
561594;0
561595;0
561596;0
561597;0
561598;0
561599;0
561600;0
